"","Subject","Exp","order","subBlock","countProp","trialCongruency","vjoutRT"
"292","41","E1","B1 100","B1","0% Con","inc",716.833333333333
"293","41","E1","B1 100","B2","100% Con","con",524.5
"294","41","E1","B1 100","B2","100% Con","inc",740.181818181818
"295","41","E1","B1 100","B2","0% Con","con",550.363636363636
"296","41","E1","B1 100","B2","0% Con","inc",633.333333333333
"297","42","E1","B1 100","B1","100% Con","con",485.5
"298","42","E1","B1 100","B1","100% Con","inc",564.5
"299","42","E1","B1 100","B1","0% Con","con",579.333333333333
"300","42","E1","B1 100","B1","0% Con","inc",751.636363636364
"301","42","E1","B1 100","B2","100% Con","con",565.333333333333
"302","42","E1","B1 100","B2","100% Con","inc",612.083333333333
"303","42","E1","B1 100","B2","0% Con","con",786.545454545455
"304","42","E1","B1 100","B2","0% Con","inc",838.9
"305","43","E1","B1 100","B1","100% Con","con",772.636363636364
"306","43","E1","B1 100","B1","100% Con","inc",866.272727272727
"307","43","E1","B1 100","B1","0% Con","con",736.416666666667
"308","43","E1","B1 100","B1","0% Con","inc",716
"309","43","E1","B1 100","B2","100% Con","con",660.363636363636
"310","43","E1","B1 100","B2","100% Con","inc",771.090909090909
"311","43","E1","B1 100","B2","0% Con","con",736.909090909091
"312","43","E1","B1 100","B2","0% Con","inc",748.333333333333
"313","44","E1","B1 0","B1","100% Con","con",441.666666666667
"314","44","E1","B1 0","B1","100% Con","inc",514.8
"315","44","E1","B1 0","B1","0% Con","con",497
"316","44","E1","B1 0","B1","0% Con","inc",613.454545454545
"317","44","E1","B1 0","B2","100% Con","con",462.916666666667
"318","44","E1","B1 0","B2","100% Con","inc",546.166666666667
"319","44","E1","B1 0","B2","0% Con","con",456
"320","44","E1","B1 0","B2","0% Con","inc",547.5
"321","45","E1","B1 0","B1","100% Con","con",730.181818181818
"322","45","E1","B1 0","B1","100% Con","inc",916.916666666667
"323","45","E1","B1 0","B1","0% Con","con",695.818181818182
"324","45","E1","B1 0","B1","0% Con","inc",755.363636363636
"325","45","E1","B1 0","B2","100% Con","con",760.545454545455
"326","45","E1","B1 0","B2","100% Con","inc",895.333333333333
"327","45","E1","B1 0","B2","0% Con","con",767.5
"328","45","E1","B1 0","B2","0% Con","inc",747.666666666667
"329","46","E1","B1 0","B1","100% Con","con",510.727272727273
"330","46","E1","B1 0","B1","100% Con","inc",582.3
"331","46","E1","B1 0","B1","0% Con","con",615.5
"332","46","E1","B1 0","B1","0% Con","inc",713
"333","46","E1","B1 0","B2","100% Con","con",554.636363636364
"334","46","E1","B1 0","B2","100% Con","inc",678.333333333333
"335","46","E1","B1 0","B2","0% Con","con",532.166666666667
"336","46","E1","B1 0","B2","0% Con","inc",647.454545454545
"337","48","E1","B1 0","B1","100% Con","con",564.333333333333
"338","48","E1","B1 0","B1","100% Con","inc",652.7
"339","48","E1","B1 0","B1","0% Con","con",495.545454545455
"340","48","E1","B1 0","B1","0% Con","inc",749.111111111111
"341","48","E1","B1 0","B2","100% Con","con",563.166666666667
"342","48","E1","B1 0","B2","100% Con","inc",547.7
"343","48","E1","B1 0","B2","0% Con","con",547.818181818182
"344","48","E1","B1 0","B2","0% Con","inc",862
"345","49","E1","B1 100","B1","100% Con","con",626.416666666667
"346","49","E1","B1 100","B1","100% Con","inc",677.5
"347","49","E1","B1 100","B1","0% Con","con",629.416666666667
"348","49","E1","B1 100","B1","0% Con","inc",820.583333333333
"349","49","E1","B1 100","B2","100% Con","con",542.333333333333
"350","49","E1","B1 100","B2","100% Con","inc",649.916666666667
"351","49","E1","B1 100","B2","0% Con","con",558.916666666667
"352","49","E1","B1 100","B2","0% Con","inc",587.454545454545
"353","50","E1","B1 0","B1","100% Con","con",535.545454545455
"354","50","E1","B1 0","B1","100% Con","inc",851.090909090909
"355","50","E1","B1 0","B1","0% Con","con",588
"356","50","E1","B1 0","B1","0% Con","inc",685
"357","50","E1","B1 0","B2","100% Con","con",556.916666666667
"358","50","E1","B1 0","B2","100% Con","inc",688.083333333333
"359","50","E1","B1 0","B2","0% Con","con",546.090909090909
"360","50","E1","B1 0","B2","0% Con","inc",684.090909090909
"361","60","E2","B1 100","B1","100% Con","con",559.416666666667
"362","60","E2","B1 100","B1","100% Con","inc",643.181818181818
"363","60","E2","B1 100","B1","0% Con","con",594.545454545455
"364","60","E2","B1 100","B1","0% Con","inc",643.833333333333
"365","60","E2","B1 100","B2","100% Con","con",497.181818181818
"366","60","E2","B1 100","B2","100% Con","inc",654.333333333333
"367","60","E2","B1 100","B2","0% Con","con",593.75
"368","60","E2","B1 100","B2","0% Con","inc",647.916666666667
"369","61","E2","B1 100","B1","100% Con","con",438.090909090909
"370","61","E2","B1 100","B1","100% Con","inc",654.083333333333
"371","61","E2","B1 100","B1","0% Con","con",555.916666666667
"372","61","E2","B1 100","B1","0% Con","inc",538
"373","61","E2","B1 100","B2","100% Con","con",452.636363636364
"374","61","E2","B1 100","B2","100% Con","inc",520.181818181818
"375","61","E2","B1 100","B2","0% Con","con",455.25
"376","61","E2","B1 100","B2","0% Con","inc",536.5
"377","62","E2","B1 100","B1","100% Con","con",717.636363636364
"378","62","E2","B1 100","B1","100% Con","inc",783.5
"379","62","E2","B1 100","B1","0% Con","con",653.75
"380","62","E2","B1 100","B1","0% Con","inc",715.909090909091
"381","62","E2","B1 100","B2","100% Con","con",617.833333333333
"382","62","E2","B1 100","B2","100% Con","inc",696.090909090909
"383","62","E2","B1 100","B2","0% Con","con",558.363636363636
"384","62","E2","B1 100","B2","0% Con","inc",707
"385","63","E2","B1 100","B1","100% Con","con",834.454545454545
"386","63","E2","B1 100","B1","100% Con","inc",911.666666666667
"387","63","E2","B1 100","B1","0% Con","con",878.916666666667
"388","63","E2","B1 100","B1","0% Con","inc",915.5
"389","63","E2","B1 100","B2","100% Con","con",805.454545454545
"390","63","E2","B1 100","B2","100% Con","inc",923.666666666667
"391","63","E2","B1 100","B2","0% Con","con",830.727272727273
"392","63","E2","B1 100","B2","0% Con","inc",990.25
